,mean_value,mean_volumn,profit
sh600318,6902982857.142858,14179481.095238095,0.6753246753246753
sh600319,2274299838.4615383,12728503.243589744,0.860424028268551
sh600320,29038311961.028572,76507529.37714286,-0.1734417344173442
sh600321,8863853328.070175,60666093.777777776,0.1769230769230769
sh600322,6565132731.428572,45005584.525714286,-0.08453608247422666
sh600323,12560740103.257143,14611877.731428571,-0.12264808362369337
sh600325,12064381101.28655,36738788.81871345,-0.0199203187250996
sh600326,7122435858.823529,37970846.3,0.06063947078280032
sh600327,5469090773.151515,21547766.32121212,0.1688144329896908
sh600328,4773249688.639053,17083029.124260355,0.4094319399785638
sh600329,13917723095.314285,12862615.64,0.1280367695338148
sh600330,11073610215.454546,30064550.624242425,-0.008483563096500538
sh600331,16584417341.040462,44213568.60115607,-0.09480122324159022
sh600332,39684224144.49102,23947119.185628742,-0.12206572769953053
sh600333,4868521616.5986395,22505393.897959184,-0.18993710691823895
sh600335,15608482770.2,8698039.266666668,-0.15821501014198772
sh600336,5183788721.828571,30407656.04,0.04049295774647895
sh600337,9547563902.839506,12559129.709876543,0.32198443579766545
sh600338,4004042896.3905325,8094915.585798817,-0.10971348707197766
sh600339,4334178648.914286,26918455.331428573,0.1141924959216966
sh600340,70743823613.04347,30415543.47826087,-0.47676496872207325
sh600343,15964061464.114286,39845576.72,0.04767063921993494
sh600345,3792798971.428571,6137015.542857143,-0.0698747528015821
sh600346,3301630759.873418,8842076.430379746,1.139386189258312
sh600348,21814730285.714287,57227795.205714285,-0.3135245901639344
sh600350,33789522560.228573,40862926.82285714,0.12903225806451626
sh600351,8906283310.344828,26070471.731034484,0.24719101123595497
sh600352,44305524143.793106,90088165.10344827,-0.5341067285382831
sh600353,4682451625.581395,13691172.447674418,-0.20984759671746767
sh600354,4404643932.057143,29838572.44,-0.21793416572077193
sh600355,3533222705.284553,13455648.17886179,0.6259204712812959
sh600356,3027605819.836066,6530750.581967213,0.08395061728395059
sh600358,6260751529.411765,22732536.94117647,0.45403899721448465
sh600359,5005117056.300578,15282138.063583815,-0.04853479853479847
sh600360,5615114688.372093,35133658.04069767,0.15913555992141465
sh600361,5858901416.742857,18343520.594285715,-0.04400606980273142
sh600362,53103239883.48572,58603194.51428571,-0.30226824457593693
sh600363,6951485080.3125,26083093.4875,0.2860082304526748
sh600365,3816314606.741573,8005710.112359551,1.3946666666666667
sh600366,11676518985.486725,19150199.840707965,-0.0528789659224441
sh600367,3798623817.142857,13412832.777142856,-0.24110320284697517
sh600368,5749361741.78161,36218715.05747127,-0.0035842293906810864
sh600369,57803610092.171425,67273833.24571429,-0.3123553910226747
sh600370,3363676206.742857,10343813.857142856,0.26974664679582705
sh600371,3968309597.7011495,9327485.350574713,0.05957446808510632
sh600372,55910803805.17647,31389139.58235294,-0.2208588957055215
sh600373,30101763562.514286,23724799.537142858,0.6809137803979365
sh600375,6569916911.151515,23286829.12121212,-0.47319932998324954
sh600376,28991058449.746834,107298142.28481013,-0.1352569882777277
sh600377,36204947684.8,19224320.702857144,0.0539083557951483
sh600378,5445074944.805195,4985555.279220779,0.6223479490806224
sh600379,3892524218.433735,9305177.530120483,-0.016511127063890914
sh600380,22661649600.064102,55407366.48717949,0.31984829329962067
sh600381,16486033655.70552,11598223.969325153,-0.19787822878228778
sh600382,5350802812.22973,23206912.243243244,-0.2784974093264248
sh600383,52236429592.11429,68565892.80571428,0.06016949152542365
sh600385,2629818323.939394,6416709.836363636,0.2761578044596913
sh600386,5843220525.714286,15235432.76,0.18122676579925662
sh600387,6505339490.196078,16296423.039215686,0.015777610818933065
sh600388,17894896445.086704,33672982.9132948,-0.6298627002288331
sh600389,6009565828.571428,3560922.6285714284,-0.32496307237813876
sh600390,5871175290.467836,23385941.350877192,-0.08056478405315606
sh600391,14872635824.971428,16943024.34285714,0.1385110952040085
sh600392,11748762836.044777,12009140.888059702,-0.11267605633802821
sh600393,2999565217.3913045,9989114.963768115,0.10638297872340435
sh600395,19415603179.2,32414580.456,-0.4675819984744469
sh600396,7137195371.314285,43003506.245714284,-0.07492795389048998
sh600397,7809312038.857142,49639977.64571428,-0.15151515151515157
sh600398,65729598199.882355,23200613.31764706,0.37760158572844404
sh600399,15481556129.032259,42316803.24516129,-0.6994113318616629
sh600400,6964579884.712644,19714760.816091955,1.8890876565295167
sh600401,16436429987.651007,125331433.82550335,-0.6671428571428571
sh600403,17397842972.514286,16023278.314285714,-0.13574660633484156
sh600405,5333059049.239766,35107189.00584795,-0.01611278952668682
sh600406,46681250553.25714,72245276.73714286,0.01735647530040052
sh600408,4211866632.911392,38055448.88607595,0.11029411764705886
sh600409,16796016409.885714,60278167.45142857,0.14126984126984135
sh600410,18062747259.264706,45471265.0882353,0.050505050505050504
sh600415,61306849829.22156,123199861.04191616,-0.38689048760991207
sh600416,12275573147.703703,19182254.903703704,0.05373635600335857
sh600418,19466596441.707317,44245202.98170732,-0.05078125000000003
sh600419,2441044147.1764708,3137729.7529411763,0.36037829766052754
sh600420,10470625203.657143,6823330.657142857,0.4786284640676375
sh600421,2660095954.285714,7241618.302857143,0.840909090909091
sh600422,11260640702.126436,9518633.281609196,0.23105134474327635
sh600423,3523990955.952381,20335075.0,-0.16946564885496174
sh600425,10583109969.37143,55012773.977142856,-0.14927536231884062
sh600426,13160026507.142857,40100551.49142857,0.0902716914986853
sh600428,16608044267.98611,89439632.0625,0.8015170670037927
sh600429,14466227054.885057,14394924.505747126,-0.1781285231116121
sh600432,25755458405.064934,28896489.558441557,-0.36877523553162844
sh600433,19704955515.547947,29372979.842465755,-0.3038297872340426
sh600435,28021933021.83908,21554104.86781609,0.11719069007758273
sh600436,22269234719.349113,4698455.698224852,-0.45178066704352743
sh600438,11567382616.698112,14215335.169811321,0.09563409563409564
sh600439,6390575940.930233,43583782.22093023,0.07799999999999993
sh600444,1984642899.408284,2966704.153846154,0.19942404607631387
sh600446,35834567108.03278,7481588.868852459,1.2753753080887293
sh600448,3691707884.8993287,23686991.959731545,0.38130563798219586
sh600449,5862922382.571428,21314908.06857143,-0.29944400317712466
sh600452,3354949714.285714,5388204.76,0.12436548223350248
sh600455,2446991832.643678,2210207.879310345,1.3161978661493694
sh600456,8742461527.2,11128884.994285714,-0.19691969196919692
sh600458,13600896852.62857,27715016.217142858,0.21268656716417908
sh600459,5761938818.114285,12114809.782857142,-0.10737913486005086
sh600460,10013134372.571428,41437390.14285714,0.008620689655172384
sh600461,3756385714.285714,13856753.204081632,-0.07791095890410961
sh600462,4390459117.777778,9711444.58888889,1.1495934959349594
sh600463,3598912926.8292685,6693664.445121951,0.08904810644831126
sh600466,20132615859.448277,25992006.068965517,0.3443008225616921
sh600467,5908506478.439306,28252089.56069364,-0.06891271056661565
sh600468,8594378736.744186,7285784.575581395,-0.03450920245398768
sh600469,6603612258.67052,12330764.057803469,0.0357698289269052
sh600470,4448029221.556887,28061016.940119762,-0.07363770250368189
sh600475,4552863247.863248,9052432.82051282,-0.08841259209645012
sh600476,4557760681.764706,7804429.929411764,0.2929666842940243
sh600477,6609276940.123457,27780809.34567901,0.5879478827361564
sh600478,13912526715.133333,16216274.6,-0.43006993006993005
sh600479,5900744810.701755,11867670.953216374,0.012857142857142836
sh600480,6361532402.285714,17278406.885714285,-0.016704631738800352
sh600481,16015070371.363636,23896269.439393938,-0.1721470019342359
sh600482,10252805625.0,21761155.427083332,2.294026377036462
sh600483,17979142898.18182,12306548.06993007,0.3430353430353431
sh600485,124958658705.52942,10735855.5,-0.5364806866952789
sh600486,9312087078.22857,7124300.611428572,-0.11060329067641679
sh600487,12053835875.555555,14567671.993055556,0.3237410071942446
sh600488,7574037971.453488,29337916.703488372,0.018456375838926228
sh600489,36048416529.01734,97402386.50867052,-0.23024054982817865
sh600490,19782279727.891155,75733376.8095238,-0.4431339511373209
sh600491,10707061069.767443,42564595.1627907,0.3597733711048159
sh600493,3537276626.506024,16526960.831325302,0.4513031550068587
sh600495,14645751596.114286,60145898.19428571,-0.5600522193211489
sh600496,10405338512.44186,42570289.72093023,-0.45492662473794543
sh600497,21719343324.02367,46941486.95857988,-0.2991386061080658
sh600498,25320676871.976048,26052577.676646706,0.4354127284183996
sh600499,15867182796.923077,20174721.942307692,0.5833333333333335
sh600500,27616095472.057144,55729715.72,0.013711151736745919
sh600501,8216348092.485549,14977089.994219653,0.16654753395282346
sh600502,7590117528.0,30216187.66285714,0.03571428571428571
sh600503,23402737239.252335,109324959.19626169,0.5452991452991452
sh600505,4019394475.9195404,15306759.43678161,-0.19110212335692622
sh600506,2490630709.2,5791256.782857143,0.39187996469549863
sh600507,9985328802.514286,40958074.82857143,-0.045207956600361664
sh600508,8768239764.914286,16242005.697142858,-0.17675544794188872
sh600509,10612248767.485714,30813507.902857143,-0.14619883040935672
sh600510,10022718478.057142,15351668.314285714,0.10419313850063525
sh600511,18001953440.0,10282169.365714286,-0.033099936346276344
sh600512,5487352371.117647,37722329.6,0.044600938967136246
sh600513,3873996972.2285714,8057172.582857143,0.05776892430278879
sh600515,4685278085.656566,20574778.04040404,0.981751824817518
sh600516,19158123175.426357,74894095.35658915,-0.2579710144927536
sh600517,16923727018.457144,34710207.90857143,-0.05876865671641798
sh600518,70181419283.81503,102970345.97687861,-0.1164086687306501
sh600519,253036520672.0,6684681.428571428,-0.015899664230693257
sh600520,3008782005.46875,9319754.3984375,0.007529089664613362
sh600521,16852776863.78882,14754833.614906833,0.5924895688456188
sh600522,18846231529.166668,27095354.958333332,0.04792332268370596
sh600523,6424605146.857142,10881546.982857144,0.03387703889585953
sh600525,16680904924.409449,19188587.606299214,0.8869955156950672
sh600526,9490569111.25,35290511.70625,-0.19840213049267647
sh600527,5628247925.314285,41340070.662857145,0.07675906183368857
sh600528,27295139455.621304,107252281.0591716,-0.1808219178082191
sh600529,4031583378.920863,8772071.374100719,0.10347615198059831
sh600530,6831081151.079137,8258804.244604317,0.7903494176372713
sh600531,4717608899.032258,13026070.754838709,-0.2815734989648033
sh600532,6172780865.12987,9581772.584415585,0.5336842105263159
sh600533,6338746478.8732395,29330479.34507042,0.03944773175542392
sh600535,48619407818.171425,12747995.965714285,-0.14739119980764612
sh600536,20757296119.82659,22369142.849710982,-0.10500758725341439
sh600537,9870772699.938272,20827649.16049383,-0.33097595473833097
sh600538,5065827253.6,19257815.133333333,0.12903225806451624
sh600539,2323386206.8965516,8027831.25862069,0.22510231923601642
sh600540,3965500444.529412,12155205.511764705,0.023284313725490134
sh600543,4038458029.714286,16303621.41142857,-0.05331882480957565
sh600545,9956944511.257143,60048369.342857145,0.1365217391304348
sh600546,12712527640.639534,69851214.84883721,-0.30128205128205127
sh600547,35271425983.6,47198683.748571426,-0.19061032863849775
sh600548,15848547631.885714,16103568.285714285,-0.29988331388564765
sh600549,27615336835.314285,20479309.114285715,-0.5485232067510548
sh600550,16037471114.137932,33720363.93678161,-0.025641025641025602
sh600551,10521632518.971428,11265867.977142857,-0.014625228519195517
sh600552,9235278745.254238,14999970.847457627,-0.29172644667623143
sh600555,8543166616.161616,65461160.42424242,1.212298682284041
sh600556,7051572859.827586,17567435.252873562,-0.26967095851216016
sh600557,13938709829.77143,15752789.52,-0.08140025305778151
sh600558,5757018773.020833,23117582.21875,-0.551849166062364
sh600559,8103181714.285714,3032536.4171428573,0.03277378097521984
sh600560,3784993677.3714285,10339881.92,0.11258865248226962
sh600561,3358943140.408163,6910014.12244898,-0.19130434782608693
sh600562,12989363978.082191,4822916.424657534,-0.196615977725423
sh600563,7584735714.285714,7255183.4,-0.05973223480947472
